var,qid,qvar,option_value,is_multi,confidence,source,status,mismatch_reason,note,matched_existing_var,question_excerpt
vCK17_1Ao2,vCK17_1A,vCK17_1A,2,0,medium,confirmation follow-up open field,match,,remapped from vQ17_1Ao2 because Excel stores the open field on confirmation variable vCK17_1Ao2,vCK17_1Ao2,"Q17_1A您上一題勾選預期一年後,消費者物價指數相較這一兩個月,會「上升至3.00%(含)以上」,請問是上升至多少%呢? (可輸入至小數點2位)[Q17_1選(4)顯示此題]上升至____%CK17_1A115年1、2月平均消費者物價指數比去年同期上漲幅度為1.23%,而您預期一年後將上升至(貼Q17_1A的答案)%。請確認您的回答是否與您的想法相符,或是輸入有誤。[Q17_1A大於等於50顯示CK17_1A,不到50則跳至Q18](1) 輸入正確,與我的想法相符(2) 輸入錯誤,正確應為上升至___% (請填數字)"
vCK17_2Ao2,vCK17_2A,vCK17_2A,2,0,medium,confirmation follow-up open field,match,,remapped from vQ17_2Ao2 because Excel stores the open field on confirmation variable vCK17_2Ao2,vCK17_2Ao2,"Q17_2A您上一題勾選預期一年後,消費者物價指數相較這一兩個月,會「下降至低於0.5%」,請問為多少%呢?(可輸入至小數點2位)[Q17_2選(1)顯示此題,範圍設定小於0.5]下降至____%CK17_2A115年1、2月平均消費者物價指數比去年同期上漲幅度為1.23%,而您預期一年後將下降至(貼Q17_2A的答案)%。請確認您的回答是否與您的想法相符,或是輸入有誤。[Q17_2A為0%或負值,顯示CK17_2A,正值則跳至Q19](1) 輸入正確,與我的想法相符(2) 輸入錯誤,正確應下降至___% (請填數字,可輸入至小數點2位)"
vQ18o7,Q18,vQ18,7,0,high,option text requires explanation,match,,,vQ18o7,"Q18請問您認為一年後消費者物價上漲的最主要原因是下列哪一個?[跳至Q19](1) 大宗原物料價格可能上漲(含石油、天然氣、礦產、小麥、玉米等)(2) 美國關稅政策實施可能引起的全球貿易戰,導致全球生產成本提高(3) 水、電價可能調漲(4) 交通運輸價格可能調漲(5) 天候因素(6) 最低工資可能繼續調升 (7) 其他因素,請說明________________4利率預期的相關問題(此部分若您不知道明確方向,可用直覺回答)Q19央行發布115年1月本國五大公股銀行新承做放款加權平均利率為2.091%。您預期在一年後,臺灣平均借貸利率與這一兩個月相比,會上升、下降、還是大致不變?(1)上升[續答Q20_1]   (2)下降[跳答Q20_2]   (3)大致不變[跳答Q21]"
vQ27city_oth,Q27,vQ27city,29,0,medium,city other field,match,,city/town open field inferred from location wording; verify project code convention,vQ27city_oth,"Q27請問您目前居住在哪一個縣市?__________市(縣)END1很抱歉,由於您目前的居住地區不在本次調查範圍內,希望下次有機會能再邀請您!再次感謝,並祝您健康快樂!【邏輯:Q27選「其他」時進入此題,並停止作答】1首先,想了解您目前生活成本的狀況,項目包含:1.房租或房貸2.食物開銷3.交通與能源開銷4.生活經常性整體開銷:包含前三項及娛樂和其他經常性開銷5.保健醫療開銷 若您不確定明確金額,填寫大概的數字即可。 (1) 已了解並開始填答"
