group,qid,status,reason,width,mutex_start,mutex_end,kind,unavailable_count,noncontinuous_mutex,mutex_code,excerpt
vK1,K1,match,,2,1,13,range,3,88,90,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明______【開放欄位】 □ (90)都沒有【與選項(01)-(88)互斥】 □ (97)不知道 □ (98"
vK2,K2,match,,2,1,9,range,3,"11,12,13,88",90,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) □ (08)Dcard □ (09)PTT(批踢踢實業坊) □ (11)Threads □ (12)"
vK3,K3,match,,2,1,9,range,3,88,90,"K3‧請問您最近一個月有沒有使用下列影音平台?(可多選)(卡16) 訪員注意: 1.YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 2.若是在LINE上看到YouTube影片,有點開YouTube網頁或APP才算有使用。 3.不論是透過手機、平板、電腦或智慧電視用影音平台都算。 □ (01)YouTube □ (02)愛奇藝 □ (03)Netflix(網飛) □ (04)LINE TV (已與原KKTV合併) □ (05)LiTV □ (06)Twitch □ (07)Disney+(迪士尼串流平台) □ (08)巴哈姆特動畫瘋 □ (09) Bilibili嗶哩嗶哩 □ (88)其他,請說明______ 【開放欄位】 □ (90)都沒有【與選項(01)-(88)互斥】"
vQ20,Q20,match,,2,1,6,range,3,88,90,"Q20.除了新聞,請問您平常還會用哪種方式獲得政治或公共事務相關訊息?(可多選)(卡42) □(01)談話性政論節目(不論是從電視或YouTube上觀看都算)【B1答0,且B3答0,且E1答(02)者,與選項(01)互斥】 □(02)政治人物(是指透過他們YouTube頻道、臉書粉專、IG帳號上的貼文、直播和預錄影片)【E1答(02)者,與選項(02)互斥】 □(03)網紅或公眾人物影片(是指從他們YouTube頻道、臉書粉專、IG帳號、直播與直播結束後的留存影片都算)【E1答(02)者,與選項(03)互斥】 □(04)播客(Podcast)的節目【E1答(02)者,與選項(04)互斥】 □(05)論壇的文章或留言(例如:PTT或Dcard)【E1答(02)者,與選項(05)互斥】 □(06"
vQ30,Q30,match,,2,1,8,range,3,,90,"Q30‧接下來,要請問您最近一年以來,有沒有做過和「政治或公共事務」議題相關的活動,會分別從「網路上」和「不是網路上」(包含面對面、打電話等)詢問。 首先針對「網路上」來詢問,請問您最近一年有沒有在網路上做過這些和「政治或公共事務」議題相關的活動?(可多選)(卡50) 【E1答(01)者,需回答此題】 □(01)在社群媒體上加入政治或社區的社團或群組(例如:賴清德總統後援會、侯友宜粉絲後援團等) □(02)在地方首長或鄰里長的首長信箱或粉專反映社區問題或提出建議 □(03)出於政治、道德或環境原因在社群媒體上抵制某些產品,包含取消關注、拒看、或是留言發文指責 □(04)透過手機app捐款給政黨、候選人或政治相關活動 □(05)觀看政治相關集會(例如:造勢晚會)的網路直播 □(06)觀看社區或"
vQ31,Q31,match,,2,1,8,range,3,,90,"Q31‧接下來針對「不是網路上」的情形詢問,請問您最近一年有沒有做過這些和「政治或公共事務」議題相關的活動?(可多選)(卡51) □(01)實體加入政治或社區的社團或組織成為會員(例如:政治人物後援會) □(02)向地方首長或鄰里長反映社區問題或提出建議 □(03)出於政治、道德或環境原因抵制或購買某些產品 □(04)參加政黨、候選人或政治相關的募款活動 □(05)參加政治相關集會(例如:造勢晚會) □(06)參加社區或公民團體集會與活動 □(07)動員其他人投票給支持的候選人 □(08)動員其他人參與連署、公投、罷免、集體行動 □(90)都沒有【與選項(01)-(08)者互斥】 □(97)不知道 □(98)拒答"
vZE2,ZE2,match,,2,1,2,range,0,,3,"ZE2‧為持續瞭解民眾對傳播媒體、新興媒體及時事議題的看法,未來想繼續邀請您填答我們的網路追蹤問卷。若您現在同意參加,可立即獲得新臺幣100元超商商品卡;未來實際完成問卷填答後,也會另外再贈送超商商品卡做為回饋。您提供的聯絡資料僅供研究聯繫使用,並會依法妥善保管。詳細內容,請參考這份同意書說明。(請訪員拿出追蹤同意書)【A09選(01)者,或E1選(02)、(97)、(98),不需回答此題】(可多選) 請問您未來是否願意接受本計畫的網路問卷填答邀請? 受訪者編號:【貼題:受訪者編號】(請訪員填在同意書上方,共二處) (01) 願意,提供手機號碼【D1答(03)者,與選項(02)互斥】【續答ZE2_2】 (02) 願意,提供Email【續答ZE2_3】 (03) 不願意【與選項(01)-(02"
