group,qid,status,reason,var_count,doc_codes,var_codes,missing_in_doc,extra_in_doc,width,start_code,end_code,option_count,unavailable_count,no_response_all,mutex_code,loop_count,no_response_1,no_response_2,no_response_3,no_response_4,no_response_5,excerpt
vE13,E13,match,,7,"1,2,3,4,5,6,88,97,98","1,2,3,4,5,6,88",,,2,1,88,7,2,"97,98",,6,97,98,,,,"E13‧請問您上網的原因或動機是什麼呢(包括用【貼題E2】)?(可多選)(卡19)【E1答(01)者,需回答此題】 訪員注意:括號內只是舉例,若有符合括號內其中一項就可以選。 □ (01)維繫友誼與他人保持聯絡(傳LINE、滑臉書等) □ (02)娛樂消遣(玩遊戲、看卡通動漫、看電影、戲劇、看直播、聽音樂、交友軟體、追星、命理 占卜、打發時間、無聊) □ (03)獲得時事/新聞/政府資訊(搜尋關鍵字、看新聞、看政府資訊、天氣資訊) □ (04)獲得生活休閒資訊(美食、觀光旅遊、醫療衛生保健、家庭生活、親子婚姻關係、交通資 訊) □ (05)理財消費購物(看理財資訊、網路購物、理財管理、繳費、財經股市) □ (06)工作(有支薪)或學習(語言學習、線上課程、"
vG7,G7,match,,14,"1,2,3,4,5,6,7,8,9,10,11,12,88,90,97,98","1,2,3,4,5,6,7,8,9,10,11,12,88,90",,,2,1,88,14,3,"90,97,98",,13,90,97,98,,,"G7‧請問您經常透過哪一些社群媒體、入口網站及整合新聞網站來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(12)隨機出現】【E1答(01)者,需回答此題】 提示說明: 1.括號內只是舉例,若有符合括號內其中一項就可以選。 2.若是在臉書上出現什麼新聞、就看什麼新聞,請選「社群媒體」。 □ (01)社群媒體(例如:臉書、Threads、X)【與K2答(90)者互斥】 □ (02)即時通訊軟體(例如:LINE Today、WeChat微信)【與K1答(90)者互斥】 □ (03)Yahoo!新聞 □ (04)Microsoft Edge新聞 □ (05)msn(微軟msn臺灣新聞) □ (06)Google新聞 □ (07)"
vG8,G8,match,,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,88,90,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,88,90",,,2,1,88,18,3,"90,97,98",,17,90,97,98,,,"G8‧除了電視以外,有些人會透過網站、APP,或YouTube頻道來看電視新聞,那你會透過這些管道來看哪些電視台?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(16)隨機出現】【E1答(01)者,需回答此題】 提示說明:若都在YouTube看新聞,請回想有看哪些頻道的新聞並點選。 □ (01)ETtoday新聞雲 □ (02)EBC東森財經新聞 □ (03)EBC東森新聞 □ (04)中天新聞網(包括:快點TV) □ (05)壹新聞Next TV □ (06)TVBS新聞網 □ (07)三立新聞網 □ (08)中視新聞 □ (09)台視新聞網 □ (10)民視新聞網 □ (11)華視新聞網 □ (12)公視新聞網 □ (13)年代新"
vG9,G9,match,,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,88,90,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,88,90",,,2,1,88,15,3,"90,97,98",,14,90,97,98,,,"G9‧那請問您經常透過哪一些電子報網站,或APP來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(13)隨機出現】【E1答(01)者,需回答此題】 □ (01)聯合新聞網UDN □ (02)自由時報 □ (03)中時新聞網 □ (04)蘋果新聞網 □ (05)經濟日報 □ (06)工商時報 □ (07)Taipei Times台北時報 □ (08)天下雜誌每日報 □ (09)立報傳媒 □ (10)苦勞網 □ (11)四方報 □ (12)臺灣醒報 □ (13)民報 □ (88)其他,請說明______【開放欄位】【該選項不隨機】 □ (90)都沒有【請注意】若選項內容都不會看,請告知訪員協助釐清本題看網路新聞的狀況,依然都沒"
vG10,G10,match,,21,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,88,90,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,88,90",,,2,1,88,21,3,"90,97,98",,20,90,97,98,,,"G10‧那請問您經常透過哪一些獨立媒體及通訊社網站,或APP來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(19)隨機出現】【E1答(01)者,需回答此題】 □ (01)CNA中央通訊社 □ (02)The News Lens(關鍵評論網) □ (03)報導者The Reporter □ (04)公民新聞(PEOPO) □ (05)PNN公視新聞議題中心 □ (06)風傳媒 □ (07)端傳媒 □ (08)上下游新聞市集 □ (09)公民行動影音紀錄資料庫 □ (10)NOW news(今日新聞) □ (11)地球圖輯隊 □ (12)癮科技Cool3c □ (13)科技新報TechNews □ (14)iThome □ "
vG11,G11,match,,7,"1,2,3,4,5,88,90,97,98","1,2,3,4,5,88,90",,,2,1,88,7,3,"90,97,98",,6,90,97,98,,,"G11‧那再請問您經常透過哪一些國際媒體的網站,或APP來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(05)隨機出現】【E1答(01)者,需回答此題】 □ (01)BBC □ (02)CNN □ (03)NHK □ (04)CBC News □ (05)華爾街日報 □ (88)其他,請說明______【開放欄位】【該選項不隨機】 □ (90)都沒有【請注意】若選項內容都不會看,請告知訪員協助釐清本題看網路新聞的狀況,依然都沒有,才點選""都沒有"" □ (97)不知道 □ (98)拒答"
vB7a,B7A,match,,55,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,88",,,2,1,88,55,2,"97,98",,54,97,98,,,,"B7a‧請問您經常看哪幾台電視新聞?(可多選)(卡20)【B5答0者,不需答此題】 訪員注意:同色選項表示該電視台有系列頻道,請再確認是哪一台,例如:答「TVBS」,請辨別是TVBS新聞台還是TVBS。 □ (01)TVBS新聞台(55台,24小時新聞台) □ (02)TVBS(56台) □ (03)三立新聞台(24小時新聞台) □ (04)三立台灣台 □ (05)三立財經台 (iNEWS) □ (06)八大第一台 □ (07)中視新聞台(24小時新聞台) □ (08)中視 □ (09)中視菁采台 □ (10)中視經典台 □ (11)公視 □ (12)公視3台 □ (13)公視台語台 □ (14)台視新聞台(24小時新聞台) □ (15)台視 □ (16)台視財經台 □ (17)民視新聞台("
vB8,B8,match,,11,"1,2,3,4,5,6,7,8,9,10,88,97,98","1,2,3,4,5,6,7,8,9,10,88",,,2,1,88,11,2,"97,98",,10,97,98,,,,"B8‧最近一個月您經常看下列哪幾種類型的電視節目?(可多選)(卡21)【B1及B3皆答0者,不需答此題】 訪員注意: 1.括號內只是舉例,若有符合括號內其中一項就可以選。 2.若有看特定電視節目但不知道要選哪類,則請在(88)其他欄位中填寫「該節目名稱」。 □ (01)新聞類(例如:社會新聞、即時新聞、氣象、體育新聞、國際新聞、政治新聞、交通資訊、專題報導)【B5答0者,與此選項互斥】【資料處理:B5答0.5~7天,選項(01)必選】 □ (02)生活消費類(例如:觀光旅遊、美食烹飪、消費購物) □ (03)戲劇電影(例如:戲劇、電影、影集) □ (04)綜藝娛樂(例如:綜藝、音樂歌唱、影視娛樂、益智競賽、舞蹈) □ (05)家庭體育醫藥(例如:體育節目、醫療衛生保健、家庭生活) □ (06"
vG3,G3,match,,33,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,88",,,2,1,88,33,2,"97,98",,32,97,98,,,,"G3‧請問您經常看哪幾份紙本報紙?(可多選) (卡22) 【A09答(01)者,或G1答0者,不需回答此題】 □ (01)自由時報 □ (02)聯合報 □ (03)中國時報 □ (04)經濟日報 □ (05)工商時報 □ (06)更生日報(花蓮、臺東縣) □ (07)人間福報 □ (08)大紀元時報 □ (09)中華日報(臺南市) □ (10)國語日報 □ (11)旺報 □ (12)臺灣時報(高雄市) □ (13)青年日報 □ (14)Taipei Times □ (15)電子時報 □ (16)Taiwan News □ (18)台灣新生報 □ (19)China Post □ (20)馬祖日報 □ (21)金門日報 □ (22)民眾日報(高雄市) □ (23)台中時報(臺中市) □ (24"
vF5,F5,match,,9,"1,2,3,4,5,6,7,8,88,97,98","1,2,3,4,5,6,7,8,88",,,2,1,88,9,2,"97,98",,8,97,98,,,,"F5‧您看雜誌(包含紙本和網路雜誌)時,經常看下列哪幾種內容?(可多選) (卡23) 【F0答(90)、(97)、(98)者,不需回答此題】 訪員注意: 1.括號內只是舉例,若有符合括號內其中一項就可以選。 2.若有看特定雜誌但不知道要選哪類,則請在(88)其他欄位中填寫「該雜誌名稱」。 □ (01)新聞類(例如:社會新聞、頭版焦點、地方新聞、國際新聞、氣象、時事評論、政治新聞、交通資訊、大陸新聞) □ (02)生活消費類(例如:觀光旅遊、美食、消費購物、時尚流行趨勢、美妝、化妝、汽車) □ (03)綜藝娛樂(例如:影視娛樂、流行音樂歌曲、電玩、漫畫) □ (04)家庭體育醫藥(例如:醫療衛生保健、家庭生活、體育、寵物) □ (05)文化藝術類(例如:藝術文化、展覽資訊、設計/繪畫、居家/建"
vC3,C3,match,,12,"1,2,3,4,5,6,7,8,9,10,11,88,97,98","1,2,3,4,5,6,7,8,9,10,11,88",,,2,1,88,12,2,"97,98",,11,97,98,,,,"C3‧您聽廣播時經常聽或經常聽到以下哪幾種類型的節目?(可多選) (卡24)【C1答0者,不需回答此題】 訪員注意: 1.括號內只是舉例,若有符合括號內其中一項就可以選。 2.若有聽特定廣播節目但不知道要選哪類,則請在(88)其他欄位中填寫「該節目名稱」。 □ (01)新聞類(例如:社會新聞、即時新聞、氣象、交通服務、國際新聞、政治新聞) □ (02)生活消費類(例如:觀光旅遊、美食、消費購物、賣藥) □ (03)廣播劇 □ (04)綜藝娛樂(例如:流行音樂歌曲) □ (05)家庭體育醫藥(例如:醫療衛生保健、家庭生活、體育賽事轉播) □ (06)兒童節目 □ (07)文化藝術類(例如:古典音樂、傳統藝術、藝術文化、展覽資訊、設計/繪畫、藝術欣賞、表演藝術、命理、風水、占卜、宗教) □ (0"
